Pixel,Wavelength(nm),Intensity(Counts)
1488,473.1,19121
1489,473.4,18715
1490,473.6,18576
1491,473.8,18338
1492,474,18084
1493,474.3,17885
1494,474.5,17588
1495,474.7,17428
1496,475,17170
1497,475.2,17059
1498,475.4,16887
1499,475.7,16742
1500,475.9,16578
1501,476.1,16376
1502,476.4,16151
1503,476.6,16046
1504,476.8,15836
1505,477,15689
1506,477.3,15644
1507,477.5,15460
1508,477.7,15373
1509,478,15304
1510,478.2,15225
1511,478.4,15108
1512,478.7,15114
1513,478.9,14933
1514,479.1,14913
1515,479.3,14733
1516,479.6,14724
1517,479.8,14549
1518,480,14695
1519,480.3,14597
